query_id,type,strategy,difficulty,node_type_count,method,query_size,query_density,heterogeneous,num_matches,top_score,avg_score,match_quality,recall_score,f1_score,precision_score
ego_dense_00000,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9707,0.9707,partial,0.6667,0.6667,0.6667
ego_dense_00001,ego_dense,unspecified,medium,1,embedding,6,0.4,False,10,1.0,1.0,partial,0.8333,0.8333,0.8333
ego_dense_00002,ego_dense,unspecified,medium,1,embedding,4,0.3333,False,5,1.0,1.0,none,0.25,0.25,0.25
ego_dense_00003,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00004,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00005,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,1,0.989,0.989,partial,0.75,0.75,0.75
ego_dense_00006,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00007,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00008,ego_dense,unspecified,medium,3,embedding,5,0.3,True,4,0.9997,0.9853,partial,0.6,0.6,0.6
ego_dense_00009,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00010,ego_dense,unspecified,medium,3,embedding,6,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00011,ego_dense,unspecified,easy,2,embedding,4,0.4167,True,2,0.9892,0.9892,partial,0.5,0.5,0.5
ego_dense_00012,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00013,ego_dense,unspecified,medium,1,embedding,5,0.3,False,10,1.0,1.0,partial,0.8,0.8,0.8
ego_dense_00014,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00015,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,5,1.0,0.9922,partial,0.6667,0.6667,0.6667
ego_dense_00016,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00017,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,1.0,0.9761,partial,0.6667,0.6667,0.6667
ego_dense_00018,ego_dense,unspecified,easy,1,embedding,3,0.5,False,7,1.0,1.0,partial,0.6667,0.6667,0.6667
ego_dense_00019,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00020,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,1,0.9828,0.9828,partial,0.6667,0.6667,0.6667
ego_dense_00021,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00022,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,6,0.9965,0.9942,partial,0.6667,0.6667,0.6667
ego_dense_00023,ego_dense,unspecified,medium,3,embedding,5,0.3,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00024,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00025,ego_dense,unspecified,medium,1,embedding,3,0.3333,False,5,0.9975,0.9919,partial,0.6667,0.6667,0.6667
ego_dense_00026,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,2,0.9887,0.9721,partial,0.75,0.75,0.75
ego_dense_00027,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,3,0.9824,0.9745,partial,0.6667,0.6667,0.6667
ego_dense_00028,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,0.9641,0.9641,partial,0.6667,0.6667,0.6667
ego_dense_00029,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00030,ego_dense,unspecified,medium,3,embedding,5,0.35,True,9,1.0,0.9994,partial,0.8,0.8,0.8
ego_dense_00031,ego_dense,unspecified,medium,3,embedding,4,0.3333,True,0,0.0,0.0,none,0.0,0.0,
ego_dense_00032,ego_dense,unspecified,hard,1,embedding,15,0.3952,False,4,0.9991,0.9919,none,0.4,0.4,0.4
ego_dense_00033,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,10,1.0,1.0,exact,1.0,1.0,1.0
ego_dense_00034,ego_dense,unspecified,medium,3,embedding,3,0.3333,True,2,1.0,1.0,exact,1.0,1.0,1.0
