query_id,strategy,source_label,heterogeneous,subgraph_size,reason,center,density
,,,,13,Low density,1932521,0.2179
,,,,8,Low density,1304925,0.2857
,,,,11,Low density,1899637,0.2727
,,,,4,Low density,855451,0.25
,,,,1,Too few nodes,1465810,0
,,,,6,Low density,902616,0.1667
,,,,16,Low density,1207084,0.0667
,,,,2,Too few nodes,1647805,0.5
,,,,20,Low density,1849911,0.0789
,,,,23,Low density,1898642,0.2372
,,,,21,Low density,1750188,0.1071
,,,,13,Low density,1882882,0.0897
,,,,11,Low density,276040,0.0909
,,,,8,Low density,64014,0.1964
,,,,2,Too few nodes,572046,0.5
,,,,1,Too few nodes,1502094,0
,,,,1,Too few nodes,1146674,0
,,,,24,Low density,21191,0.1051
,,,,2,Too few nodes,566439,0.5
,,,,2,Too few nodes,1562663,0.5
,,,,13,Low density,128112,0.1026
,,,,32,Low density,1689177,0.0857
,,,,1,Too few nodes,1657720,0
,,,,4,Low density,1620375,0.25
,,,,2,Too few nodes,80513,0.5
,,,,1,Too few nodes,1173958,0
,,,,9,Low density,612894,0.1944
,,,,15,Low density,1212038,0.0667
,,,,7,Low density,985821,0.1429
,,,,12,Low density,1637331,0.2045
,,,,2,Too few nodes,51908,0.5
,,,,21,Low density,1761603,0.1143
,,,,4,Low density,898399,0.25
,,,,6,Low density,151315,0.2
,,,,10,Low density,1681240,0.2778
,,,,6,Low density,781666,0.2
,,,,6,Low density,984066,0.2333
,,,,6,Low density,1469316,0.2667
,,,,5,Low density,68727,0.25
,,,,17,Low density,98575,0.0956
,,,,9,Low density,583977,0.1111
,,,,2,Too few nodes,576264,0.5
,,,,2,Too few nodes,950363,0.5
,,,,9,Low density,131525,0.1667
,,,,13,Low density,1909124,0.1731
,,,,2,Too few nodes,323886,0.5
,,,,14,Low density,1220228,0.0714
,,,,2,Too few nodes,1257789,0.5
,,,,1,Too few nodes,1157005,0
,,,,17,Low density,196836,0.0919
,,,,18,Low density,1678811,0.1699
,,,,1,Too few nodes,1134853,0
,,,,52,Low density,1803185,0.1972
,,,,4,Low density,939051,0.25
,,,,5,Low density,738516,0.2
,,,,22,Low density,1730412,0.0779
,,,,2,Too few nodes,997736,0.5
,,,,241,Low density,584044,0.0104
,,,,93,Low density,499846,0.0387
,,,,6,Low density,46290,0.2333
,,,,13,Low density,1225932,0.0769
,,,,6,Low density,308073,0.2
,,,,24,Low density,485827,0.0797
,,,,6,Low density,820763,0.1667
,,,,9,Low density,193374,0.1111
,,,,8,Low density,1769921,0.1429
,,,,13,Low density,178569,0.1026
,,,,4,Low density,1015172,0.25
,,,,12,Low density,1599963,0.1288
,,,,1,Too few nodes,1646514,0
,,,,5,Low density,62354,0.2
,,,,1,Too few nodes,1198881,0
,,,,2,Too few nodes,843876,0.5
,,,,2,Too few nodes,845150,0.5
,,,,2,Too few nodes,102010,0.5
,,,,19,Low density,1273927,0.0936
,,,,8,Low density,1785427,0.1786
,,,,7,Low density,1616088,0.1667
,,,,4,Low density,1027062,0.25
,,,,6,Low density,1717333,0.2667
,,,,11,Low density,425529,0.2
,,,,5,Low density,486744,0.2
,,,,1,Too few nodes,1153651,0
,,,,1,Too few nodes,1134926,0
,,,,1,Too few nodes,1608497,0
,,,,1,Too few nodes,1793927,0
,,,,10,Low density,1853244,0.2333
,,,,1,Too few nodes,1187415,0
,,,,1,Too few nodes,1573703,0
,,,,5,Low density,121025,0.2
