type,nature,nodes,edges,density,difficulty
author_coaffiliation,Hetero,9,8,0.111,hard
author_ego,Hetero,3,2,0.333,hard
citation_chain,Homo,3,2,0.333,hard
citation_triangle,Homo,3,6,1.0,hard
ego_dense,Homo,8,17,0.304,medium
ego_dense_2hop,Hetero,11,24,0.218,hard
field_cotopic,Hetero,8,12,0.214,hard
field_neighborhood,Hetero,16,20,0.083,hard
hybrid_motif,Homo,5,6,0.3,easy
institution_star,Hetero,12,11,0.083,hard
motif_clique,Homo,5,10,0.5,easy
paper_coauthor_star,Hetero,5,4,0.2,hard
paper_topic_chain,Hetero,3,2,0.333,hard
real_star,Hetero,29,55,0.068,hard
synthetic_bidir_chain,Hetero,10,20,0.222,hard
synthetic_chain,Hetero,11,11,0.1,hard
synthetic_clique,Hetero,9,33,0.458,hard
synthetic_double_star,Hetero,14,15,0.082,hard
synthetic_ring,Hetero,10,11,0.122,hard
synthetic_star,Hetero,8,6,0.107,hard
